Title	Authors	URL	Country	Dataset	Specific Medical area
Extracting Clinical-event-packages from Billing Data for Clinical Pathway Mining	H Huang, T Jin, J Wang	https://link.springer.com/chapter/10.1007/978-3-319-59858-1_3	China	Hospital	Intracerebral haemorrhage
Feature learning for accurate time prediction in congested healthcare systems	A Senderovich, M Weidlich, A Gal	https://web.iem.technion.ac.il/images/user-files/avigal/TR_2017/IE_IS_2017_01a.pdf?58bf8e64	USA/Israel	Hospital	Cancer/Emergency dept
First Steps Towards Process Mining in Distributed Health Information Systems	Paster and Helm	https://www.degruyter.com/downloadpdf/j/eletel.2015.61.issue-2/eletel-2015-0017/eletel-2015-0017.pdf	?	Hospital	Radiology
Frequent Treatment Sequence Mining from Medical Databases	K TÓTH, I KÓSA…	http://ebooks.iospress.nl/publication/46479	Hungary	All	Cancer - colorectal
From data to knowledge: a method for modeling hospital logistic processes	Maruster and Jorna	https://www.ncbi.nlm.nih.gov/pubmed/16138541	Netherlands	Hospital	Multimorbid
Gaining insight from patient journey data using a process-oriented analysis approach	Perimal et al.	http://crpit.com/confpapers/CRPITV129Perimal-Lewis.pdf	Australia	Hospital	Emergency dept
Getting a Grasp on Clinical Pathway Data: An Approach Based on Process Mining	Weerdt et al.	https://link.springer.com/chapter/10.1007/978-3-642-36778-6_3	Netherlands	Hospital	Cancer - gynae
HEALTH CARE ANALYSIS FOR PROCESS DEVIATION USING ALPHA-FITNESS ALGORITHM IN PROCESS MINING	K Ganesha, R Nagaraj…	http://www.jatit.org/volumes/Vol88No3/16Vol88No3.pdf	Netherlands	Hospital	Cancer - gynae
Health intelligence: Discovering the process model using process mining by constructing Start-to-End patient journeys	Perimal et al.	http://crpit.com/confpapers/CRPITV153Perimal-Lewis.pdf	Australia	Hospital	Emergency dept
Healthcare Analytics: Examining the Diagnosis–treatment Cycle	Caron et al.	http://www.sciencedirect.com/science/article/pii/S221201731300265X	Netherlands	Hospital	Cancer - gynae
Healthcare process analysis	R Andrews, S Suriadi, M Wynn…	https://dl.acm.org/citation.cfm?id=1031078	USA	Hospital	Gynaecology
Healthcare Process Analysis: Validation and Improvements of a Data-based Method using Process Mining and Visual Analytics	Ramos	http://alexandria.tue.nl/extra2/afstversl/tm/Torres%20Ramos%202009.pdf	Netherlands	Hospital	Cancer - gynae
Heart cycle: facilitating the deployment of advanced care processes	Meneu et al.	http://ieeexplore.ieee.org/document/6611168/	Spain	All	Cardiology
Improving hospital layout planning through clinical pathway mining	IV Arnolds, D Gartner	https://link.springer.com/article/10.1007/s10479-017-2485-4	Germany	Hospital	Layout
Improving organizational process of a hospital through Petri-net based repair models	N Saelim, P Porouhan…	http://ieeexplore.ieee.org/document/7804107/	Thailand	Hospital	Admission
Improving patient flow in a cardiology department by identifying care pathways	J Marynissen, E Demeulemeester	https://lirias.kuleuven.be/handle/123456789/548736	Belgium	Hospital	Cardiology
Improving patient flows at St. Andrew's War Memorial Hospital's emergency department through process mining	R Andrews, S Suriadi, M Wynn…	https://link.springer.com/chapter/10.1007/978-3-319-58307-5_17	USA	Hospital	Emergency dept
Improving Pattern Detection in Healthcare Process Mining Using an Interval-Based Event Selection Method.	Amirah Alharbi, Andy Bulpitt, Owen Johnson	https://link.springer.com/chapter/10.1007/978-3-319-65015-9_6	USA	Hospital	ICU
Improving structural medical process comparison by exploiting domain knowledge and mined information	Montani et al.	http://www.sciencedirect.com/science/article/pii/S0933365714000815?via%3Dihub	Italy	Hospital	Stroke
Incorporating comorbidities into latent treatment pattern mining for clinical pathways	Z Huang, W Dong, L Ji, C He, H Duan	http://www.sciencedirect.com/science/article/pii/S1532046415002920?via%3Dihub	China	Hospital	Cardiology
Incorporating domain knowledge into clinical goal discovering for clinical pathway mining	X Xu, T Jin, Z Wei, J Wang	http://ieeexplore.ieee.org/document/7897255/	?	Hospital	Intracerebral haemorrhage/Inguinal hernia
Incorporating Topic Assignment Constraint and Topic Correlation Limitation into Clinical Goal Discovering for Clinical Pathway Mining	X Xu, T Jin, Z Wei, J Wang	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5474282/	China	Hospital	Various
Integrating Business Process Management to Model Context in Healthcare: A case study using perioperative processes	A Harris	https://ruor.uottawa.ca/bitstream/10393/34106/3/Harris_Amos_2016_thesis.pdf	Canada	Hospital	Surgery
Integrating Process Mining and Cognitive Analysis to Study EHR Workflow.	Furniss SK, Burton MM, Grando A, Larson DW, Kaufman DR.	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5333235/	USA	Hospital	Surgery
Interconnecting processes through IoT in a health-care scenario	M Vitali, B Pernici	http://ieeexplore.ieee.org/document/7580760/	Italy	Hospital	Location tracking
Interoperability Assessment Approach in Cancer Healthcare.	V Scuissiatto, E Loures, EAP Santos	http://ebooks.iospress.nl/volumearticle/45415	Brazil	Hospital	Cancer
Interoperability Assessment in Health Systems Based on Process Mining and MCDA Methods	G Riz, EAP Santos, EFR Loures	https://link.springer.com/chapter/10.1007/978-3-319-56535-4_44	Brazil	Hospital	Cancer
Interoperability Assessment in Healthcare Based on the AHP/ANP Methods	V Scuissiatto, EAP Santos, ER Loures, S Bueno…	https://link.springer.com/chapter/10.1007/978-3-319-56535-4_67	Brazil	Hospital	Cancer
Investigating clinical care pathways correlated with outcomes	Lakshmanan et al.	https://link.springer.com/chapter/10.1007/978-3-642-40176-3_27	USA	Primary/Secondary	Heart Failure
Is your upgrade worth it? Process mining can tell	Van Genuchten et al.	http://www.win.tue.nl/~hreijers/H.A.%20Reijers%20Bestanden/20140106%20How%20to%20prove%20your%20next%20release%20is%20worth%20it%20accepted%20version.pdf	Netherlands	Dental	Dentistry
Learning Bundled Care Opportunities from Electronic Medical Records	Y Chen, AN Kho, D Liebovitz, C Ivory…	https://arxiv.org/ftp/arxiv/papers/1706/1706.00487.pdf	USA	Hospital	Various
Learning Clinical Workflows to Identify Subgroups of Heart Failure Patients	C Yan, Y Chen, B Li, D Liebovitz…	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5333346/	USA	Hospital	Heart Failure
Linking Diagnostic-Related Groups (DRGs) to their Processes by Process Mining.	A Stefanini, D Aloini, R Dulmin, V Mininno	https://www.researchgate.net/publication/301721634_Linking_Diagnostic-Related_Groups_DRGs_to_their_Processes_by_Process_Mining	Netherlands	Hospital	Cancer - gynae
Measuring patient flow variations: a cross-organisational process mining approach	Suriadi et al.	https://link.springer.com/chapter/10.1007/978-3-319-08222-6_4	Australia	Hospital	Chest pain
Medical Workflow Modeling Using Alignment-Guided State-Splitting HMM	S Yang, M Zhou, S Chen, X Dong…	http://ieeexplore.ieee.org/document/8031142/	USA/Netherlands	Hospital	Trauma resus/Cancer - gynae
Methods to assess process flow and wait-times at student run free clinics	R Haq	https://mospace.umsystem.edu/xmlui/bitstream/handle/10355/56073/research.pdf?sequence=2&isAllowed=y	USA	Hospital	Waiting times
Mining and retrieving medical processes to assess the quality of care	Montani et al.	https://link.springer.com/chapter/10.1007/978-3-642-39056-2_17	Italy	Hospital	Stroke
Mining processes in dentistry	Mans et al.	https://dl.acm.org/citation.cfm?id=2110407	Netherlands	Dental	Dentistry
Monitoring care processes in the gynecologic oncology department	Caron et al.	http://www.sciencedirect.com/science/article/pii/S0010482513003028	Netherlands	Hospital	Cancer - gynae
Monitoring deployed application usage with process mining	Günther et al.	http://citeseerx.ist.psu.edu/viewdoc/download%3Fdoi%3D10.1.1.670.954%26rep%3Drep1%26type%3Dpdf&sa	USA/Europe	Hospital	X-rays
Multi-level Interactive Medical Process Mining	L Canensi, G Leonardi, S Montani…	https://link.springer.com/chapter/10.1007/978-3-319-59758-4_28	?	Hospital	Stroke
On Analyzing Process Compliance in Skin Cancer Treatment: An Experience Report from the Evidence-Based Medical Compliance Cluster (EBMC2)	Binder et al.	https://link.springer.com/chapter/10.1007/978-3-642-31095-9_26	Austria	Hospital	Cancer - skin
On process mining in health care	Kaymak et al.	http://ieeexplore.ieee.org/iel5/6362338/6377652/06378009.pdf	?	Hospital	Anasthecia
Optimized patient care-flow management-A process mining approach	N Nawarathna, JA Jayasinghe	http://repository.kln.ac.lk/handle/123456789/13978	Sri Lanka/Netherlands	Hospital	Cardiology/Cancer - gynae
Process Improvement in Healthcare: A Data-Based Method Using a Combination of Process Mining and Visual Analytics	Riemers	http://alexandria.tue.nl/extra1/afstversl/tm/Riemers%202009.pdf	Netherlands	Hospital	Surgery
Process mining based modeling and analysis of workflows in clinical care—a case study in a chicago outpatient clinic	Zhou et al.	http://ieeexplore.ieee.org/document/6819692/	USA	Hospital	Outpatient
Process mining for clinical processes: a comparative analysis of four Australian hospitals	Partington et al.	https://eprints.qut.edu.au/66728/	Australia	Hospital	Chest pain
Process mining for clinical workflows	N Garg, S Agarwal	http://ebooks.iospress.nl/publication/11582	India	Hospital	Care flow
Process Mining for Clinical Workflows: Challenges and Current Limitations	Lang et al.	http://ebooks.iospress.nl/publication/11582	Germany	Hospital	Radiology
Process mining for individualized behavior modeling using wireless tracking in nursing homes	Fernández-Llatas et al.	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3871075/	Spain	Nursing Home	Location tracking
Process Mining in Healthcare Mining for Cost and (Near) Incidents	Steeg	https://pure.tue.nl/ws/files/47018476/791987-1.pdf	Netherlands	Hospital	Radiotherapy
Process Mining in Healthcare Systems: An Evaluation and Refinement of a Methodology	Doremalen	http://alexandria.tue.nl/extra2/afstversl/tm/Van_Doremalen_2012.pdf	Netherlands	Hospital	Urology/Cancer - gynae
Process Mining in Healthcare: A Contribution to Change the Culture of Blame	Quaglini	https://link.springer.com/chapter/10.1007/978-3-642-00328-8_31	Italy	Hospital	Medical error
Process Mining in Healthcare: Data Challenges When Answering Frequently Posed Questions	Mans et al.	https://link.springer.com/chapter/10.1007/978-3-642-36438-9_10	Netherlands	Hospital	Cancer - colorectal
Process Mining in Healthcare: Evaluating and Exploiting Operational Healthcare Processes	Mans et al.	http://www.springer.com/gb/book/9783319160702	?	Hospital	Various
Process Mining Methodology for Health Process Tracking Using Real-Time Indoor Location Systems	Fernandez-Llatas et al.	http://www.mdpi.com/1424-8220/15/12/29769	Spain	Hospital	Location tracking
Process mining routinely collected electronic health records to define real-life clinical pathways during chemotherapy.	Baker K, Dunwoodie E, Jones RG, Newsham A, Johnson O, Price CP, Wolstenholme J, Leal J, McGinley P, Twelves C, Hall G.	https://www.ncbi.nlm.nih.gov/pubmed/28550999	UK	Hospital	Cancer
Process mining techniques: an application to stroke care	Mans et al.	http://ebooks.iospress.nl/publication/11642	Netherlands	Hospital	Stroke
Process Mining to Knowledge Discovery in Healthcare Processes.	Gustavo Riz, Eduardo Alves Portela Santos, Eduardo De Freitas Rocha Loures	http://ebooks.iospress.nl/volumearticle/45490	Brazil	Hospital	Cancer
Process Mining-Based Method of Designing and Optimizing the Layouts of Emergency Departments in Hospitals.	Rismanchian F, Lee YH.	http://journals.sagepub.com/doi/abs/10.1177/1937586716674471?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dpubmed	South Korea	Hospital	Hospital layout
Process mining: Acquiring Objective Process Information for Healthcare Process Management with the CRISP-DM Framework	Zhou	https://pure.tue.nl/ws/files/46937463/641921-1.pdf	Netherlands	Hospital	RA
Process prediction in noisy data sets: a case study in a Dutch hospital	Van Der Spoel et al.	https://link.springer.com/content/pdf/10.1007%2F978-3-642-40919-6_4.pdf	Netherlands	Hospital	Cardiology/Cancer - lung
Process-oriented Iterative Multiple Alignment for Medical Process Mining	S Chen, S Yang, M Zhou, RS Burd, I Marsic	https://arxiv.org/ftp/arxiv/papers/1709/1709.05440.pdf	USA/Netherlands	Hospital	Trauma resus/Cancer - gynae
Quantifying patient flow and utilization with patient flow pathway and diagnosis of an emergency department in Singapore	F Meng, CK Ooi, CKK Soh, KL Teow, P Kannapiran	https://link.springer.com/article/10.1057/hs.2015.15	Singapore	Hospital	Emergency dept
Question-Driven Methodology for Analyzing Emergency Room Processes Using Process Mining	E Rojas, M Sepúlveda, J Munoz-Gama, D Capurro…	http://www.mdpi.com/2076-3417/7/3/302/pdf	Chile	Hospital	Emergency dept
RTLS-based process mining: towards an automatic process diagnosis in healthcare	Micio et al.	http://ieeexplore.ieee.org/document/7294294/	France	Hospital	Location tracking
Self-tracking reloaded: applying process mining to personalized health care from labeled sensor data	T Sztyler, J Carmona, J Völker…	https://link.springer.com/chapter/10.1007/978-3-662-53401-4_8	Germany	Hospital	Location tracking
Semi-Synthetic Trauma Resuscitation Process Data Generator	S Yang, Y Zhou, Y Guo, RA Farneth…	http://ieeexplore.ieee.org/document/8031216/	USA	Hospital	Trauma resus
Stage division and pattern discovery of complex patient care processes	T Wang, X Tian, M Yu, X Qi, L Yang	https://link.springer.com/article/10.1007/s11424-017-5302-x	China	Hospital	Diabetes - type 2/Unstable angina/VBI
Standardisation of Supporting Processes in Healthcare A case study of the APQC Healthcare Process Classification Framework.	T Mantje, T Smit, D Sterk, J Mens	http://aisel.aisnet.org/bled2016/25/	Netherlands	Hospital	Care flow
Strategies for the quality assessment of the health care service providers in the treatment of Gastric Cancer in Colombia.	Villamil MDP, Barrera D, Velasco N, Bernal O, Fajardo E, Urango C, Buitrago S.	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5603051/	Columbia	Hospital	Cancer - stomach
Summarizing patient daily activities for clinical pathway mining	X Xu, T Jin, J Wang	http://ieeexplore.ieee.org/document/7749453/	China	Hospital	Intracerebral haemorrhage
Supporting Healthcare Management Decisions via Robust Clustering of Event Logs	Delias et al.	http://www.sciencedirect.com/science/article/pii/S0950705115001501	Greece	Hospital	Emergency dept
Surgical workflow management schemata for cataract procedures	Neumuth et al.	https://methods.schattauer.de/en/contents/archivestandard/issue/1594/manuscript/17673.html	Germany	Hospital	Surgery
Tcpm: Topic-based clinical pathway mining	X Xu, T Jin, Z Wei, C Lv, J Wang	http://ieeexplore.ieee.org/document/7545844/	China	Hospital	Intracerebral haemorrhage
Temporal data mining and process mining techniques to identify cardiovascular risk-associated clinical pathways in Type 2 diabetes patients	Dagliati et al.	http://ieeexplore.ieee.org/document/6864348/	Italy	Primary/Secondary	Diabetes - type 2
Temporal Data Mining on the Stay Time of Outpatients and Treatment Processes	S Hirano	http://ieeexplore.ieee.org/document/7836712/	Japan	Hospital	Outpatient
Temporal electronic phenotyping by mining careflows of breast cancer patients	A Dagliati, L Sacchi, A Zambelli, V Tibollo…	http://www.sciencedirect.com/science/article/pii/S1532046416301861	Italy	Hospital	Cancer
The best fit process model for the utilization of the physical resources in hospitals by applying inductive visual miner	K Ganesha, M Soundarya…	http://ieeexplore.ieee.org/document/7975212/	?	Hospital	?
The Value of EHR-based Assessment of Physician Competency: An Investigative Effort with Internal Medicine Physicians	K Venta, E Baker, C Fidopiastis, K Stanney	http://www.sciencedirect.com/science/article/pii/S1386505617302022	USA	Hospital	Asthma/CVD/Diabetes/RA
Towards Process Mining of EMR Data	GJ de Vries, RAQ Neira, G Geleijnse, P Dixit…	http://www.gjdv.nl/docs/publications/de_Vries_et_al_2017_Healthinf_2017.pdf	Brazil	Hospital	Sepsis
TRUISM (TRANSFUSION INVENTORY PROCESS MINING FRAMEWORK): A PROCESS MINING-BASED FRAMEWORK FOR UNDERSTANDING BLOOD  …	C Cheng	https://dalspace.library.dal.ca/bitstream/handle/10222/72821/Cheng-Calvino-PhD-IDPHD-March-2017.pdf?sequence=9	Canada	Hospital	Transfusion
Uncovering longitudinal healthcare utilization from patient-level medical claims data	RP Hilton, N Serban, RY Zheng	https://arxiv.org/pdf/1603.00896.pdf	USA	All	Asthma - Pediatric
Understanding variations in pediatric asthma care processes in the emergency department using visual analytics	Basole et al.	https://www.ncbi.nlm.nih.gov/pubmed/25656514	USA	Hospital	Asthma - Pediatric Emergency Dept
Using Process and Data Improving Techniques to Define and Improve Standardization in a Healthcare Workflow Environment	Staal	http://alexandria.tue.nl/extra2/afstversl/tm/Staal_2010.pdf	Netherlands	Hospital	Oncology
Using Process Mining to Assess the Fidelity of a Home Visiting Program	R Haq, SCV Pires, JM Kapp…	http://uknowledge.uky.edu/cgi/viewcontent.cgi?article=1202&context=frontiersinphssr	USA	Public health	Maternal, infant child home visiting
Using telephony data to facilitate discovery of clinical workflows	DW Rucker	https://aci.schattauer.de/en/contents/archive/issue/2469/manuscript/27447.html	USA	Hospital	Telephony data
Using the DTW method for estimation of deviation of care processes from a care plan	A Molodchenkov, M Khachumov	http://ceur-ws.org/Vol-1752/paper39.pdf	Russia	Hospital	Asthma
Variance analysis in task-time matrix clinical pathways	H Yan, P Van Gorp, U Kaymak, L Ji, X Lu…	http://ieeexplore.ieee.org/document/7897253/	China	Hospital	Unstable angina
Visualisation of Integrated Patient-Centric Data as Pathways: Enhancing Electronic Medical Records in Clinical Practice	JH Bettencourt-Silva, GS Mannu…	https://link.springer.com/chapter/10.1007%2F978-3-319-50478-0_5	UK	Hospital	Cancer - prostate
Waiting times: The outpatient referral process, variation, performance and structural influences	U Naiker	https://eprints.qut.edu.au/108004/1/Ugenthiri_Naiker_Thesis.pdf	Australia	Hospital	Urology
Web-video-mining-supported workflow modeling for laparoscopic surgeries	R Liu, X Zhang, H Zhang	http://www.sciencedirect.com/science/article/pii/S0933365716301075	Not specific	Hospital	Surgery
Workflow and process mining in healthcare	Gupta	http://alexandria.tue.nl/extra2/afstversl/wsk-i/gupta2007.pdf	Netherlands	Hospital	ICU/Stroke
Workflow mining and outlier detection from clinical activity logs	Bouarfa and Dankelman	http://www.sciencedirect.com/science/article/pii/S153204641200127X?via%3Dihub	?	Hospital	Surgery
Workflow mining for visualization and analysis of surgeries	Blum et al.	https://link.springer.com/article/10.1007/s11548-008-0239-0	?	Hospital	Surgery
Workflow support for the healthcare domain	Mans	https://pure.tue.nl/ws/files/2910464/702635.pdf	Netherlands	Hospital	Cancer - gynae
